10,27.2,22,33
20,97.4667,97,98
30,146.6,144,150
40,230.2,229,232
50,278.267,275,281
60,376,374,378
70,446.6,443,450
80,521.467,519,524
90,609.667,604,612
100,672.533,668,677
110,777.667,774,781
120,880.533,878,883
130,962.267,958,965
140,1043.2,1038,1048
150,1108.2,1104,1115
160,1198.53,1195,1201
170,1280.93,1274,1288
180,1397.07,1390,1403
190,1463.73,1458,1469
200,1565.53,1558,1577
210,1670.13,1666,1675
220,1779.47,1774,1786
230,1881.47,1879,1884
240,2002.47,1999,2007
250,2080.73,2075,2084
260,2177.93,2171,2185
270,2252.73,2247,2258
280,2344.4,2338,2349
290,2408.6,2396,2414
300,2498.53,2493,2505
310,2606.4,2599,2613
320,2716.73,2712,2722
330,2825.47,2819,2838
340,2922.73,2916,2926
350,3022.53,3016,3028
360,3144.67,3137,3151
370,3229.53,3220,3235
380,3322.6,3314,3331
390,3421.87,3416,3429
400,3553.33,3545,3563
410,3671.6,3662,3677
420,3790.4,3783,3799
430,3914.2,3908,3922
440,4018.93,4014,4029
450,4136,4130,4144
460,4235.73,4227,4242
470,4357.47,4350,4363
480,4481.47,4474,4486
490,4572.67,4566,4579
500,4661.67,4656,4669
510,4767.47,4759,4777
520,4865.07,4856,4874
530,4967.67,4962,4973
540,5090.53,5075,5097
550,5171,5165,5182
560,5234.27,5226,5246
570,5326.27,5317,5336
580,5381.33,5374,5391
590,5484.67,5468,5499
600,5606.87,5598,5615
